"jurisdiction","state","regime_type","permit_fee","renewal_cadence","ordinance_or_program_url","enforcement_vendor","notes","source_url","collected_on"
"Fulton County","Georgia","permit","$150","annual","https://dca.georgia.gov/document/document/hotel-motel-tax-revenue-report/download","Avenu; Granicus","Fulton County short-term rental rules in 2026, city by city, with Atlanta's $150 license, the taxes that stack on a stay, and who enforces what. Fulton County short-term rental rules in 2026, city by city, with Atlanta's $150 license, the taxes that stack on a stay, and who enforces what.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fulton-County-Georgia-Guide","2026-09-03"
"Savannah","Georgia","permit (primary-residence limited)","","annually","https://gtc.dor.georgia.gov/","","Savannah short-term rental rules in 2026, including why the historic-district cap is full, what an STVR certificate costs, and who still qualifies.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Savannah-Georgia-guide","2026-09-03"
"Honolulu","Hawaii","unclear","","","https://codelibrary.amlegal.com/codes/honolulu/latest/honolulu/0-0-0-20607","Avenu","Honolulu's 2026 short-term rental rules: which zones still allow B&B and TVU registration, the 90-day court fight, taxes, fees, and real enforcement numbers.","https://www.bnbcalc.com/blog/short-term-rental-regulation/honolulu-hawaii-guide","2026-09-03"
"Honolulu County","Hawaii","permit","$1,000","every year","https://files.hawaii.gov/tax/news/announce/ann26-01.pdf","Avenu","New whole-home nightly rentals in residential neighborhoods aren't allowed, and registration runs $1,000. Honolulu County (Oahu) short-term rental rules in 2026: why new whole-home Airbnbs are banned outside resort zones, the 30-day line, fees, and taxes.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Honolulu-County-Hawaii-Guide","2026-09-03"
"Kahului","Hawaii","license","","annual","","","Kahului, Hawaii Short Term Rental Regulations Guide for Airbnb hosts Kahului, Hawaii Regulations > Hawaii > Kahului Want to see how Kahului compares to other top cities in Hawaii ? Explore all city regulations in Hawaii . → C Kahului , HI Challenging To Investors License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expert for Kahului . C","https://strprofitmap.com/regulations/HI/kahului","2026-09-03"
"Kihei","Hawaii","permit","","two-year","https://files.hawaii.gov/tax/news/announce/ann26-01.pdf","","Kihei short-term rental rules in 2026, including Maui County's Bill 9 condo phase-out, STRH permits, and the taxes that stack on every stay.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Kihei-Hawaii-Guide","2026-09-03"
"Lahaina","Hawaii","unclear","","","https://files.hawaii.gov/tax/legal/hrs/hrs_237d.pdf","","Lahaina short-term rental rules for 2026, covering Maui County's Bill 9 condo phase-out, STRH and B&B permits, every tax layer, and what still qualifies.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Lahaina-Hawaii-guide","2026-09-03"
"Boise City","Idaho","permit","","annual","https://legislature.idaho.gov/statutesrules/idstat/title67/t67ch65/sect67-6539/","","Boise City repealed its short-term rental license in 2026. Here's what still applies: tax registration, lodging tax, and the rules hosts still need to follow.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Boise-City-Idaho-guide","2026-09-03"
"Arlington Heights","Illinois","ban / prohibited","","","https://cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-01/Hotel%20FAQs.1.12.22.pdf","","Arlington Heights banned stays under 30 days starting July 1, 2026. Here is what the 2026 ordinance covers and what hosts can still do legally.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Arlington-Heights-Illinois-guide","2026-09-03"
"Aurora","Illinois","registration","","annual","https://tax.illinois.gov/research/taxinformation/excise/hotel.html","","Aurora, Illinois short-term rental rules for 2026, why the city has no dedicated Airbnb ordinance, which taxes apply, and who to call first.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Aurora-Illinois-guide","2026-09-03"
"Bolingbrook","Illinois","license","$75","annual","https://mytax.illinois.gov/","","Expect a $75 license, inspections, Illinois's hotel tax, and the village's own 11% hotel tax in 2026. Bolingbrook, Illinois short-term rental rules for 2026: the village's landlord license, the 11% hotel tax, and what's still unclear for Airbnb hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Bolingbrook-Illinois-guide","2026-09-03"
"Champaign","Illinois","license","","annual","https://champaignil.gov/finance/payments/tax-remittance/","","Champaign, Illinois short-term rental rules for 2026, including the 7% hotel tax, why there's no dedicated STR license yet, and who actually enforces what.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Champaign-Illinois-guide","2026-09-03"
"Chicago","Illinois","registration","$250","annually","https://tax.illinois.gov/content/dam/soi/en/web/tax/research/publications/pubs/documents/pub-106.pdf","","Chicago short-term rental rules in 2026, covering shared housing registration, the $250 fee, restricted zones, and combined taxes near 28% per booking. Chicago short-term rental rules in 2026, covering shared housing registration, the $250 fee, restricted zones, and combined taxes near 28% per booking.","https://www.bnbcalc.com/blog/short-term-rental-regulation/chicago-illinois-guide","2026-09-03"
"Cicero","Illinois","license","$125","","https://cicero-il.elaws.us/code/coor_ch22_artvi_sec22-284","","Confirm your zoning district and budget $125 for the business license before you list in 2026. Cicero, Illinois short-term rental rules for 2026, why there's no dedicated Airbnb ordinance, which taxes still apply, and the license every host needs.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Cicero-Illinois-guide","2026-09-03"
"Cook County","Illinois","permit","","annually","https://cook-county.legistar.com/LegislationDetail.aspx?ID=71766&amp;GUID=6B82547B-63FF-4259-9AF3-624F8CCD1188","","Cook County short-term rental rules in 2026, including the 1% county hotel tax, the 2025 zoning change for unincorporated areas, and Chicago registration.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Cook-County-Illinois-Guide","2026-09-03"
"Decatur","Illinois","license","$25","annual","https://decaturil.gov/186/Hotel-Use-Tax","","Decatur, Illinois short-term rental rules for 2026: the $25 city license, the 8% hotel tax, the July 2026 platform-tax change, and who to call. Decatur, Illinois short-term rental rules for 2026: the $25 city license, the 8% hotel tax, the July 2026 platform-tax change, and who to call.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Decatur-Illinois-guide","2026-09-03"
"DuPage County","Illinois","permit (primary-residence limited)","","annual","https://dupage.legistar1.com/dupage/attachments/032aed9d-d704-4129-b250-11c6abee0f9a.pdf","","DuPage County short-term rental rules in 2026, including the county's new owner-occupied license, Naperville's outright ban, and every tax layer you'll owe.","https://www.bnbcalc.com/blog/short-term-rental-regulation/DuPage-County-Illinois-Guide","2026-09-03"
"Elgin","Illinois","license","$149","annual","https://elginil.gov/2012/General-Complaint-or-Concern","","A license from Code Compliance costs $149 a year for a single-family home, needs an inspection and landlord training, and every stay owes Illinois's state hotel tax plus Elgin's own local hotel tax, which neither Airbnb Elgin, Illinois short-term rental rules for 2026: the rental license, its cost, the local hotel tax nobody collects for you, and how the city enforces it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Elgin-Illinois-guide","2026-09-03"
"Evanston","Illinois","license","$150","annually","https://mytax.illinois.gov/","","Both owner-occupied and non-owner-occupied units need a license, the citywide total is capped at one license per hundred long-term rentals, new listings must sit 600 feet apart, and it costs $150 to apply plus $250 a yea Evanston's 2026 short-term rental rules, including the new license cap, 600-foot spacing rule, fees, taxes, and how hosts get licensed for Airbnb and Vrbo.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Evanston-Illinois-guide","2026-09-03"
"Bloomington","Indiana","permit","","","https://bloomington.in.gov/housing/rental-occupancy","","Bloomington, Indiana short-term rental rules for 2026, including why no city permit exists yet, the 12% combined tax, and where council may head next.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Bloomington-Indiana-guide","2026-09-03"
"Carmel","Indiana","unclear","","annual","https://forms.carmel.in.gov/Forms/permits","","Carmel, Indiana short-term rental rules for 2026, including the new state law that voided the city's Airbnb ordinance and what still applies.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Carmel-Indiana-guide","2026-09-03"
"Evansville","Indiana","registration","$5","annual","https://iga.in.gov/pdf-documents/124/2026/house/bills/HB1210/HB1210.06.ENRS.pdf","","Evansville, Indiana short-term rental rules for 2026: the $5 rental registry, Vanderburgh County's 8% innkeeper's tax, and the state's new ban on rental caps. Evansville, Indiana short-term rental rules for 2026: the $5 rental registry, Vanderburgh County's 8% innkeeper's tax, and the state's new ban on rental caps.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Evansville-Indiana-guide","2026-09-03"
"Fort Wayne","Indiana","permit","","annual","https://iga.in.gov/pdf-documents/124/2026/house/bills/HB1210/HB1210.06.ENRS.pdf","","Fort Wayne, Indiana short-term rental rules for 2026, why the city has no dedicated STR license of its own, and the 15% combined tax every host owes.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fort-Wayne-Indiana-guide","2026-09-03"
"Gary","Indiana","permit (primary-residence limited)","$150","annual","https://iga.in.gov/pdf-documents/124/2026/house/bills/HB1210/HB1210.06.ENRS.pdf","","Gary, Indiana short-term rental rules for 2026, covering the city's $150 permit, the special use variance for investors, and Lake County's 5% innkeeper's tax. Gary, Indiana short-term rental rules for 2026, covering the city's $150 permit, the special use variance for investors, and Lake County's 5% innkeeper's tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Gary-Indiana-guide","2026-09-03"
"Hammond","Indiana","permit (primary-residence limited)","$5","annually","https://iga.in.gov/pdf-documents/124/2026/house/bills/HB1210/HB1210.06.ENRS.pdf","Avenu","Indiana law protects owner-occupied rentals in any residential zone, and Hammond has no dedicated STR permit of its own, just a general rental registration ($5 a year) plus 7% state sales tax and 5% Lake County innkeeper Hammond, Indiana's 2026 Airbnb rules explained, from the state law that protects owner-occupied rentals to the city's registration fee and Lake County taxes.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Hammond-Indiana-guide","2026-09-03"
"Cedar Rapids","Iowa","permit","","annual","https://revenue.iowa.gov/media/90/download?inline","","Cedar Rapids Iowa short-term rental rules for 2026, covering state preemption, the city's rental registration program, and the 12% lodging tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Cedar-Rapids-Iowa-guide","2026-09-03"
"Davenport","Iowa","permit","$30","annual","https://ecode360.com/35566160","","Davenport has no dedicated short-term rental ordinance, though its general rental property license, costing $30 to $60 a year, may still apply. Davenport, Iowa short-term rental rules for 2026: what Iowa's state preemption covers, the city's general rental license, and the 12% lodging tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Davenport-Iowa-guide","2026-09-03"
"Des Moines","Iowa","permit","","annual","https://revenue.iowa.gov/permits-licensing/business-permit-registration","","Des Moines allows short-term rentals in 2026, but only with a Board of Adjustment permit, density caps, and a real approval process most cities skip.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Des-Moines-Iowa-guide","2026-09-03"
"Kansas City","Kansas","permit (primary-residence limited)","","","https://kslegislature.gov/li/b2025_26/measures/hb2481/","Avenu","Kansas City, Kansas short-term rental rules for 2026: the Unified Government's permit process, the 10% guest tax, and the temporary World Cup license track.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Kansas-City-Kansas-guide","2026-09-03"
"Louisville/Jefferson County","Kentucky","permit (primary-residence limited)","$560","annual","https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=45191","","Non-owner-occupied rentals in residential zones need a Conditional Use Permit too, with a public hearing and $560 to $1,260 in fees. Louisville/Jefferson County short-term rental rules for 2026, covering registration fees, when a Conditional Use Permit kicks in, tax rates and penalties.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Louisville-County-Kentucky-guide","2026-09-03"
"Baton Rouge","Louisiana","permit (primary-residence limited)","$100","annual","https://revenue.louisiana.gov/tax-education-and-faqs/faqs/sales-tax-reform/what-is-the-state-sales-tax-rate/","","Non-owner-occupied whole-home rentals need a $100 permit from Permits and Inspections; owner-occupied rentals only need tax registration. Baton Rouge short-term rental rules in 2026, including the two-track permit system, the zoning restriction the city removed, and the 16.5% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Baton-Rouge-Louisiana-guide","2026-09-03"
"New Orleans","Louisiana","permit","$250","annual","https://dam.ldr.la.gov/lawspolicies/RIB%2025-026%20Room%20Rentals%20Using%20Accommodations%20Intermediaries%20-%20Separate%20Reporting.final.pdf","","Hosts owe a 5% state tax, a 6.75% city occupancy tax, and permit fees starting at $250. New Orleans short-term rental rules for 2026, the NSTR lottery, the frozen CSTR track, an October 2025 LLC ruling, and every tax hosts owe.","https://www.bnbcalc.com/blog/short-term-rental-regulation/new-orleans-louisiana-guide","2026-09-03"
"Bar Harbor","Maine","license","","annually","","","Bar Harbor, Maine Short Term Rental Regulations Guide for Airbnb hosts Bar Harbor, Maine Regulations > Maine > Bar Harbor Want to see how Bar Harbor compares to other top cities in Maine ? Explore all city regulations in Maine . → B Bar Harbor , ME Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expert fo","https://strprofitmap.com/regulations/ME/bar-harbor","2026-09-03"
"Ellsworth","Maine","permit","","","https://legislature.maine.gov/statutes/30-A/title30-Asec4364-C.html","","Ellsworth, Maine short-term rental rules for 2026: no city permit yet, what state tax applies, and why council is now weighing registration.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Ellsworth-Maine-guide","2026-09-03"
"Anne Arundel County","Maryland","permit (primary-residence limited)","$100","two-year","https://annearundelco-md.elaws.us/code/coor_art11_t13a","","Registration runs $100 for two years, no host may register more than two units, and you collect a 7% county lodging tax on top of Maryland's 6% state sales tax. Anne Arundel County short-term rental rules in 2026: who needs the county registration, the two-unit cap, owner-occupancy, and the 7% lodging tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Anne-Arundel-County-Maryland-Guide","2026-09-03"
"Baltimore County","Maryland","permit","$300","annual","https://marylandtaxes.gov/mdtaxconnect/","Avenu; Host Compliance","Baltimore County short-term rental rules in 2026: the $300 license, the 8-guest ceiling, the $1 million insurance floor, and the 9.5% transient occupancy tax. Baltimore County short-term rental rules in 2026: the $300 license, the 8-guest ceiling, the $1 million insurance floor, and the 9.5% transient occupancy tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Baltimore-County-Maryland-Guide","2026-09-03"
"Ocean City","Maryland","license","","annual","","","Ocean City, Maryland Short Term Rental Regulations Guide for Airbnb hosts Ocean City, Maryland Regulations > Maryland > Ocean City Want to see how Ocean City compares to other top cities in Maryland ? Explore all city regulations in Maryland . → B Ocean City , MD Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regulations and lice","https://strprofitmap.com/regulations/MD/ocean-city","2026-09-03"
"Boston","Massachusetts","registration","","annual","https://malegislature.gov/Laws/SessionLaws/Acts/2018/chapter337","Avenu","Boston's 2026 short-term rental rules require owner-occupancy, a city registration, and up to 14.95% in combined tax. What Airbnb hosts need to verify first.","https://www.bnbcalc.com/blog/short-term-rental-regulation/boston-massachusetts-guide","2026-09-03"
"Brockton","Massachusetts","registration","","","https://brockton.ma.us/event/public-hearing-68/","","Brockton, Massachusetts short-term rental rules for 2026, no permanent city ordinance, a temporary World Cup measure, and the taxes that still apply.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Brockton-Massachusetts-guide","2026-09-03"
"Cambridge","Massachusetts","registration","$500","","https://web.archive.org/web/2/https://dls-gw.dor.state.ma.us/reports/rdpage.aspx?rdreport=localoptions.room_tax_impact_fee","Avenu; Granicus; Granicus Host Compliance; Host Compliance","Cambridge, Massachusetts short-term rental rules for 2026, the $500 registration fee, who qualifies to host, and why most listings still aren't registered. Cambridge, Massachusetts short-term rental rules for 2026, the $500 registration fee, who qualifies to host, and why most listings still aren't registered.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Cambridge-Massachusetts-guide","2026-09-03"
"Cape Cod","Massachusetts","registration","$90","every year","https://barnstable.gov/Departments/planninganddevelopment/Barnstable-Short-Term-Rental-Information.asp","","In Barnstable you register the property with the Board of Health every year for $90, post the certificate inside, and collect 14.45% in room occupancy tax. Cape Cod short-term rental rules in 2026, covering Barnstable's Chapter 170 registration, the new state inspection mandate, and the 14.45% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Cape-Cod-Massachusetts-Guide","2026-09-03"
"Fall River","Massachusetts","registration","","","https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIX/Chapter62C/Section67","","Fall River legalized short-term rentals in 2025. Here's the 2026 guide to what the rule requires, what it costs, who enforces it, and who to call.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fall-River-Massachusetts-guide","2026-09-03"
"Norfolk County","Massachusetts","registration","","annual","https://dls-gw.dor.state.ma.us/reports/rdPage.aspx?rdReport=LocalOptions.Room_Tax_Impact_Fee","","Norfolk County short-term rental rules in 2026, town by town, including which towns register hosts, which one bans Airbnb outright, and the full tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Norfolk-County-Massachusetts-Guide","2026-09-03"
"Ann Arbor","Michigan","license","$500","annual","https://www.michigan.gov/taxes/business-taxes/sales-use-tax/use-tax-1","Deckard; Rentalscape","Ann Arbor short-term rental rules for 2026, the $500 city license, zoning limits on whole-house Airbnbs, and the new licensing pause hosts should know about. Ann Arbor short-term rental rules for 2026, the $500 city license, zoning limits on whole-house Airbnbs, and the new licensing pause hosts should know about.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Ann-Arbor-Michigan-guide","2026-09-03"
"Fenville","Michigan","permit","$75","annually","https://mto.treasury.michigan.gov/","","Fennville, Michigan short-term rental rules for 2026, covering the $75 annual STR permit, zoning, Michigan's 6% use tax, and who to call at City Hall. Fennville, Michigan short-term rental rules for 2026, covering the $75 annual STR permit, zoning, Michigan's 6% use tax, and who to call at City Hall.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fennville-Michigan-guide","2026-09-03"
"Flint","Michigan","license","$250","annual","https://web.archive.org/web/2/https://codelibrary.amlegal.com/codes/flint/latest/flint_mi/0-0-0-1287","","Hosts fall under the city's general rental registration code ($250 plus inspection), a zoning code that only recognizes owner-occupied bed and breakfasts as lodging, Genesee County's 5% accommodation tax, Michigan's 6% u Flint's 2026 short-term rental rules: no dedicated STR ordinance, a citywide rental registration code, zoning gaps, and Genesee County's 5% accommodation tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Flint-Michigan-guide","2026-09-03"
"Genesee County","Michigan","permit","","annual","https://www.legislature.mi.gov/Bills/Bill?ObjectName=2025-HB-5138","","Short-term rentals are legal across Genesee County, Michigan in 2026, but permits are set township by township and a 5% county bed tax applies to every stay.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Genesee-County-Michigan-Guide","2026-09-03"
"Grand Rapids","Michigan","license","","three-year","https://mto.treasury.michigan.gov/","Avenu","What Grand Rapids requires from Airbnb hosts in 2026, including the 200-license cap, the owner-occupancy rule, license costs, Kent County tax, and enforcement.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Grand-Rapids-Michigan-guide","2026-09-03"
"Oakland County","Michigan","permit","","annual","https://mto.treasury.michigan.gov/","","Oakland County short-term rental rules in 2026, from Birmingham's licence moratorium to Bloomfield Township's ban, plus the taxes and fees that apply.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Oakland-County-Michigan-Guide","2026-09-03"
"Rochester Hills","Michigan","permit","","annual","https://library.municode.com/mi/rochester_hills/codes/code_of_ordinances?nodeId=SPBLADERE_CH138ZO_ART13DE","","Rochester Hills, Michigan short-term rental rules for 2026: no STR ordinance, a 14-day bed-and-breakfast cap, and the taxes that actually apply to hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Rochester-Hills-Michigan-guide","2026-09-03"
"Traverse City","Michigan","license","","annually","","","Traverse City, Michigan Short Term Rental Regulations Guide for Airbnb hosts Traverse City, Michigan Regulations > Michigan > Traverse City Want to see how Traverse City compares to other top cities in Michigan ? Explore all city regulations in Michigan . → B Traverse City , MI Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regul","https://strprofitmap.com/regulations/MI/traverse-city","2026-09-03"
"Bloomington","Minnesota","permit","","annually","https://codelibrary.amlegal.com/codes/bloomington/latest/bloomington_mn/0-0-0-101163","","Bloomington, Minnesota bans short term rentals under 30 days citywide in 2026, with no zoning path to a license, and what the 30-day-plus alternative allows.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Bloomington-Minnesota-guide","2026-09-03"
"Brooklyn Park","Minnesota","permit","","","https://www.house.mn.gov/hrd/pubs/lodgetax.pdf","","Brooklyn Park bans Airbnb and Vrbo-style short-term rentals in 2026, so this guide covers what the city permits, what it taxes, and where to look next.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Brooklyn-Park-Minnesota-guide","2026-09-03"
"Duluth","Minnesota","permit (primary-residence limited)","","annual","https://duluthmn.gov/csi/short-term-rentals/","","Duluth, Minnesota short-term rental rules in 2026, including the three permit types, the 60-unit citywide cap, tax rates, and who to call at City Hall.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Duluth-Minnesota-guide","2026-09-03"
"Gulfport","Mississippi","permit","","annual","https://billstatus.ls.state.ms.us/2019/pdf/history/HB/HB1745.xml","Avenu","Gulfport, Mississippi requires no short-term rental permit in 2026. What the city code actually says, the 12% tax stacked on every stay, and who to call.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Gulfport-Mississippi-guide","2026-09-03"
"Jackson","Mississippi","permit","","annual","https://billstatus.ls.state.ms.us/documents/2025/html/HB/0900-0999/HB0919PS.htm","","Jackson, Mississippi short-term rental rules for 2026, covering the city's rental registration program, licensing costs, and every tax layer that applies.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Jackson-Mississippi-guide","2026-09-03"
"Branson","Missouri","license","","annual","","","Branson, Missouri Short Term Rental Regulations Guide for Airbnb hosts Branson, Missouri Regulations > Missouri > Branson Want to see how Branson compares to other top cities in Missouri ? Explore all city regulations in Missouri . → B Branson , MO Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expert fo","https://strprofitmap.com/regulations/MO/branson","2026-09-03"
"Columbia","Missouri","license","$130","","https://beheard.como.gov/short-term-rentals-regulations","","Yes, you can run a short-term rental in Columbia, Missouri in 2026, but only after registering under the city's three-tier system, passing a $130 inspection, and getting a business license. Columbia, Missouri's 2026 short-term rental rules: the three-tier system, $130 inspection fee, 5% lodging tax, and how strictly the city enforces it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Columbia-Missouri-guide","2026-09-03"
"Springfield","Missouri","permit (primary-residence limited)","","","https://dor.mo.gov/taxation/business/registration/requirements.html","Avenu","Springfield, Missouri short-term rental rules for 2026, covering the three STR permit types, license fees, the 5% lodging tax, and current city enforcement.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Springfield-Missouri-guide","2026-09-03"
"St. Louis County","Missouri","permit","","annual","https://dor.mo.gov/forms/2643.pdf","Avenu","St. Louis County wrote no short-term rental ordinance of its own, so in 2026 your exact address decides the rules. Here are the taxes, permits and contacts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/St-Louis-County-Missouri-Guide","2026-09-03"
"Billings","Montana","permit (primary-residence limited)","","annually","https://billingsmt.gov/DocumentCenter/View/47977/Short-Term-Rental-Permit-Zoning-Code-Regulations","","Billings, Montana short-term rental rules for 2026: the permit and business license required, what they cost, and how hard the city now enforces them.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Billings-Montana-guide","2026-09-03"
"Bozeman","Montana","license","","annually","","","Bozeman, Montana Short Term Rental Regulations Guide for Airbnb hosts Bozeman, Montana Regulations > Montana > Bozeman Want to see how Bozeman compares to other top cities in Montana ? Explore all city regulations in Montana . → C Bozeman , MT Challenging To Investors License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expert for Bozema","https://strprofitmap.com/regulations/MT/bozeman","2026-09-03"
"Whitefish","Montana","license","$400","annually","","","Whitefish, Montana Short Term Rental Regulations Guide for Airbnb hosts Whitefish, Montana Regulations > Montana > Whitefish Want to see how Whitefish compares to other top cities in Montana ? Explore all city regulations in Montana . → B Whitefish , MT Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expe","https://strprofitmap.com/regulations/MT/whitefish","2026-09-03"
"Douglas County","Nebraska","permit","","annual","https://nebraskalegislature.gov/laws/statutes.php?statute=18-1758","","Short-term rentals are legal in Douglas County, Nebraska in 2026, but unincorporated areas need a discretionary Special Use Permit. Here's how it works.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Douglas-County-Nebraska-Guide","2026-09-03"
"Clark County","Nevada","license","","annual","https://clark.legistar.com/View.ashx?GUID=5AD831EA-FF46-43DE-8B3D-49D89A8E8A11&amp;ID=11776546&amp;M=F","","Clark County, Nevada short-term rental rules in 2026: why the license window is still shut, what the federal injunction paused, and what hosts owe in tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Clark-County-Nevada-Guide","2026-09-03"
"Reno","Nevada","permit","","annual","https://www.leg.state.nv.us/NRS/NRS-076.html","","Reno short-term rental rules in 2026, including why the city has no STR permit ordinance yet, what taxes still apply, and what's coming next.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Reno-Nevada-guide","2026-09-03"
"Manchester","New Hampshire","permit","","","https://codelibrary.amlegal.com/codes/manchester/latest/manchester_nh/0-0-0-5202","","Manchester, NH short-term rental rules for 2026, including the zoning fight over whole-unit Airbnb use, the Housing Code rental permit, and the 8.5% state tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Manchester-New-Hampshire-guide","2026-09-03"
"Asbury Park, NJ","New Jersey","permit (primary-residence limited)","$500","every year","https://nj.gov/treasury/taxation/pdf/pubs/tb/tb81r.pdf","","Asbury Park's 2026 short-term rental rules for Airbnb hosts, from the owner-occupancy test and the $500 permit to the 180-day cap and the 14.625% tax stack. Asbury Park's 2026 short-term rental rules for Airbnb hosts, from the owner-occupancy test and the $500 permit to the 180-day cap and the 14.625% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Asbury-Park-New-Jersey-Guide","2026-09-03"
"Cape May","New Jersey","license","","annual","","","Cape May, New Jersey Short Term Rental Regulations Guide for Airbnb hosts Cape May, New Jersey Regulations > New Jersey > Cape May Want to see how Cape May compares to other top cities in New Jersey ? Explore all city regulations in New Jersey . → B Cape May , NJ Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regulations and lice","https://strprofitmap.com/regulations/NJ/cape-may","2026-09-03"
"Hoboken","New Jersey","permit","","annual","https://ecode360.com/15237147","Avenu","Hoboken still has no short-term rental ordinance in 2026, so here is what actually binds you: rent control, an 11.625% tax stack, and rules being drafted now.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Hoboken-New-Jersey-Guide","2026-09-03"
"Hudson County","New Jersey","permit (primary-residence limited)","","","https://ecode360.com/33388424","Avenu","Hudson County short-term rental rules in 2026, town by town: which six municipalities ban Airbnb, which four permit it, the fees, and the tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Hudson-County-New-Jersey-Guide","2026-09-03"
"Jersey City","New Jersey","ban / prohibited","$250","annually","https://nj.gov/treasury/taxation/pdf/pubs/tb/tb81r.pdf","Avenu","Jersey City short-term rental rules for 2026, including the 60-night cap, the $250 permit, the four-unit building ban, and the 16.625% tax stack. Jersey City short-term rental rules for 2026, including the 60-night cap, the $250 permit, the four-unit building ban, and the 16.625% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Jersey-City-New-Jersey-guide","2026-09-03"
"Bernalillo County","New Mexico","permit","$50","","https://library.municode.com/nm/bernalillo_county/codes/code_of_ordinances?nodeId=BECOCO_APXAZO_PRGECOZOOR","","Bernalillo County has never passed a short-term rental ordinance, so in the unincorporated area there's no STR permit and no cap, just a $50 county business registration and state gross receipts tax. Bernalillo County short-term rental rules for 2026: why the county has no STR permit, what Albuquerque and Los Ranchos require, and the property tax fight.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Bernalillo-County-New-Mexico-Guide","2026-09-03"
